step_count,duration_seconds,filename,timestamp,model,quality,prompt
1,17,20250302_115300_1steps_dreamy_landscape.png,2025-03-02 11:53:17,schnell,4,"dreamy landscape"
2,22,20250302_115317_2steps_dreamy_landscape.png,2025-03-02 11:53:39,schnell,4,"dreamy landscape"
3,29,20250302_115339_3steps_dreamy_landscape.png,2025-03-02 11:54:08,schnell,4,"dreamy landscape"
4,38,20250302_115408_4steps_dreamy_landscape.png,2025-03-02 11:54:46,schnell,4,"dreamy landscape"
5,49,20250302_115446_5steps_dreamy_landscape.png,2025-03-02 11:55:35,schnell,4,"dreamy landscape"
6,66,20250302_115535_6steps_dreamy_landscape.png,2025-03-02 11:56:41,schnell,4,"dreamy landscape"
7,83,20250302_115641_7steps_dreamy_landscape.png,2025-03-02 11:58:04,schnell,4,"dreamy landscape"
8,88,20250302_115804_8steps_dreamy_landscape.png,2025-03-02 11:59:32,schnell,4,"dreamy landscape"
9,96,20250302_115932_9steps_dreamy_landscape.png,2025-03-02 12:01:08,schnell,4,"dreamy landscape"
10,44,20250302_120108_10steps_dreamy_landscape.png,2025-03-02 12:01:52,schnell,4,"dreamy landscape"
